,,,,,,,,,,,,,,,,,,능력치,,,,,,,,,,,,,,,,,,전법,,,,,,개성,,,,,진형,,,,,,,,,,
무장번호,무장,용모,성별,생년,등장년,사관년,사망년,사인,상성,세력,군단,소속,소재,신분,관직,충성,lp12A,통솔,무력,지력,정치,매력,질병,주의,정책,정책등급,음성,어조,lp117,배우자,의형,혈연,부친,모친,세대,1,2,3,4,5,6,1,2,3,4,5,어린,봉시,안행,방원,학익,장사,추행,정란,충차,투석,사이
1,아회남,127,남,190,217,0,225,1,62,,,운남,운남,미등장,없음,0,,65,74,26,33,44,건강,할거,장사강화,3,난폭남,난폭남,0,,,아회남,,,1,돌격,,,,,,남만,단려,,,,,1,,,,1,,,,,
2,아귀,1100,남,172,191,0,214,1,80,,,한중,한중,미등장,없음,0,,66,73,20,18,48,건강,아도,침략황폐,3,난폭남,난폭남,0,,,아귀,,,1,급습,도발,,,,,강저,저돌,직정,,,,1,,,,,1,,,,
3,위강,1101,남,168,196,0,212,1,20,,,장안,장안,미등장,없음,0,,64,37,60,72,79,건강,예교,성벽확장,3,정중남,정중남,0,,,위강,,,1,연노,고무,,,,,교화,안목,,,,,,,1,,,,,,,
4,위소,505,남,204,223,0,273,1,131,,,건업,건업,미등장,없음,0,,16,20,65,73,68,건강,명리,태학,3,정중남,정중남,0,,,위소,,,1,,,,,,,문화,사관,,,,,,,,,,,1,,,
5,이적,31,남,162,189,0,226,0,77,,,복양,복양,미등장,없음,0,,29,23,77,86,85,건강,예교,지역진흥,4,정중남,정중남,0,,,이적,,,1,진정,구축,,,,,자비,법률,안목,논객,,,,,,1,,,,,,
6,윤해,1102,남,161,190,0,204,1,107,,,평원,평원,미등장,없음,0,,54,56,42,44,43,건강,할거,병참개혁,1,보통남,보통남,0,,,윤해,,,1,철벽,,,,,,직정,,,,,1,,,,,,,,,,
7,은관,1103,남,166,195,0,218,0,81,,,강릉,강릉,미등장,없음,0,,24,25,63,69,58,건강,명리,지역진흥,2,책사남,책사남,0,,,은관,,,1,도발,,,,,,능리,,,,,,,1,,,,,,,,
8,음기,1104,남,152,184,0,206,0,120,,,업,업,미발견,없음,0,,22,27,64,75,65,건강,명리,종횡술,3,교활남,교활남,0,,,음기,,,1,업화,,,,,,논객,,,,,1,,,,,,,,,,
9,은서,1105,남,177,196,0,223,0,37,,,장안,장안,미등장,없음,0,,70,68,37,41,42,건강,할거,봉시강화,3,보통남,보통남,0,,,은서,,,1,돌격,대갈,,,,,위무,저돌,,,,,1,,,,1,,,,,
